순위,도서명,저자명,출판사,출판년도,ISBN13,주제분류명,대출건수
36,대온실 수리 보고서 :김금희 장편소설 ,지은이: 김금희,창비,2024,9788936439651,문학 > 한국문학 > 소설,3567
37,아가미 :구병모 장편소설 ,지은이: 구병모,위즈덤하우스,2018,9791162203392,문학 > 한국문학 > 소설,3563
38,"도둑맞은 집중력 :집중력 위기의 시대, 삶의 주도권을 되찾는 법 ",요한 하리 지음 ;김하현 옮김,어크로스(어크로스출판그룹),2023,9791167740984,철학 > 심리학 > 각론,3540
39,두 사람의 인터내셔널 :김기태 소설 ,지은이: 김기태,문학동네,2024,9788954697941,문학 > 한국문학 > 소설,3510
40,"파쇄 :일단 마음먹고 칼을 집었으면, 뜸 들이지 마 ",지은이: 구병모,위즈덤하우스,2023,9791168127012,문학 > 한국문학 > 소설,3485
41,달러구트 꿈 백화점 :주문하신 꿈은 매진입니다 ,지은이: 이미예,팩토리나인,2020,9791165341909,문학 > 한국문학 > 소설,3458
42,아주 희미한 빛으로도 :최은영 소설 ,지은이: 최은영,문학동네,2023,9788954695053,문학 > 한국문학 > 소설,3392
43,오렌지와 빵칼 =청예 장편소설 /Orange and bread knife ,지은이: 청예,허블,2024,9791193078259,문학 > 한국문학 > 소설,3388
44,용의자 X의 헌신 ,히가시노 게이고 지음 ;양억관 옮김,재인,2017,9788990982704,문학 > 일본문학 > 소설,3318
45,입속 지느러미 :조예은 장편소설 ,지은이: 조예은,한겨레엔,2024,9791172130633,문학 > 한국문학 > 소설,3311
46,(EBS 다큐프라임) 자본주의 ,EBS MEDIA 기획 ;EBS <자본주의> 제작팀 지음,가나문화콘텐츠,2013,9788957365793,사회과학 > 경제학 > 경제정책,3291
47,브람스를 좋아하세요 ,프랑수아즈 사강 [지음] ;김남주 옮김,민음사,2008,9788937461798,문학 > 프랑스문학 > 소설,3273
48,비눗방울 퐁 :이유리 소설집 ,지은이: 이유리,민음사,2024,9788937428234,문학 > 한국문학 > 소설,3267
49,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것 ,지은이: 김승호,Snowfox(스노우폭스북스),2020,9791188331796,사회과학 > 경제학 > 금융,3236
50,사랑과 결함 :예소연 소설 ,지은이: 예소연,문학동네,2024,9791141601102,문학 > 한국문학 > 소설,3208
51,흰 :한강 소설 ,지은이: 한강,문학동네,2018,9788954651134,문학 > 한국문학 > 소설,3192
52,대도시의 사랑법 :박상영 연작소설 ,지은이: 박상영,창비,2019,9788936437978,문학 > 한국문학 > 소설,3167
53,내가 한 말을 내가 오해하지 않기로 함 ,지은이: 문상훈,위너스북,2024,9791189352745,문학 > 한국문학 > 르포르타주 및 기타,3160
54,파견자들 :김초엽 장편소설 ,지은이: 김초엽,퍼블리온,2023,9791191587524,문학 > 한국문학 > 소설,3138
55,긴키 지방의 어느 장소에 대하여 :세스지 장편소설 ,지은이: 세스지 ;옮긴이: 전선영,오팬하우스,2025,9791194654063,문학 > 일본문학 > 소설,3083
56,왜 나는 너를 사랑하는가,알랭 드 보통 [지음];정영목 옮김,청미래,2007,9788986836240,문학 > 영미문학 > 소설,3066
57,랑과 나의 사막 :천선란 소설 ,지은이: 천선란,H(현대문학),2022,9791167901354,문학 > 한국문학 > 소설,3062
58,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가 ,제임스 클리어 지음 ;이한이 옮김,비즈니스북스,2019,9791162540640,철학 > 심리학 > 각론,3047
59,오로라 ,지은이: 최진영,위즈덤하우스,2024,9791168127500,문학 > 한국문학 > 소설,3017
60,자몽살구클럽,한로로 (HANRORO) (지은이),어센틱,2025,9791199305304,,3001
61,궤도 ,지은이: 서맨사 하비 ;옮긴이: 송예슬,서해문집,2025,9791194413394,문학 > 영미문학 > 소설,2994
62,스노볼 드라이브 :조예은 장편소설 ,지은이: 조예은,민음사,2021,9788937473319,문학 > 한국문학 > 소설,2941
63,테디베어는 죽지 않아 :조예은 장편소설 ,지은이: 조예은,안전가옥,2023,9791193024225,문학 > 한국문학 > 소설,2930
64,(2500년 동안 사랑받은) 초역 부처의 말 :행복으로 가는 길은 없다 행복이 곧 길이다 ,코이케 류노스케 지음 ;박재현 옮김,콘텐츠그룹 포레스트,2024,9791193506516,"종교 > 불교 > 법어, 신앙록, 신앙생활",2927
65,적산가옥의 유령 :조예은 소설 ,지은이: 조예은,H(현대문학),2024,9791167902580,문학 > 한국문학 > 소설,2917
66,돈은 좋지만 재테크는 겁나는 너에게 ,뿅글이 지음,첨단,2023,9788960306134,사회과학 > 경제학 > 금융,2899
67,아이가 없는 집 ,지은이: 알렉스 안도릴 ;옮긴이: 유혜인,필름,2024,9791193262184,문학 > 독일문학 > 기타 게르만 문학,2884
68,세이노의 가르침 :피보다 진하게 살아라 ,세이노 지음,데이원,2023,9791168473690,사회과학 > 경제학 > 경영관리,2882
69,쇼코의 미소 :최은영 소설 ,지은이: 최은영,문학동네,2016,9788954641630,문학 > 한국문학 > 소설,2881
70,어떤 물질의 사랑 :천선란 소설집 ,지은이: 천선란,아작,2020,9791165508340,문학 > 한국문학 > 소설,2872
71,나미야 잡화점의 기적 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,2012,9788972756194,문학 > 일본문학 > 소설,2825
72,싯다르타,헤르만 헤세 지음;박병덕 옮김,민음사,2002,9788937460586,문학 > 독일문학 > 소설,2812
73,사랑의 기술 ,에리히 프롬 지음 ;황문수 옮김,문예출판사,2019,9788931011623,철학 > 심리학 > 각론,2764
73,미드나잇 라이브러리 ,매트 헤이그 지음 ;노진선 옮김,인플루엔셜,2021,9791191056556,문학 > 영미문학 > 소설,2764
75,가면산장 살인사건 ,지은이: 히가시노 게이고 ;옮긴이: 김난주,재인,2014,9788990982575,문학 > 일본문학 > 소설,2750
76,돈의 심리학 :당신은 왜 부자가 되지 못했는가 ,모건 하우절 지음 ;이지연 옮김,인플루엔셜,2021,9791191056372,사회과학 > 경제학 > 금융,2744
77,참을 수 없는 존재의 가벼움 ,지은이: 밀란 쿤데라 ;옮긴이: 이재룡,민음사,2018,9788937437564,문학 > 기타 제문학 > 인도-유럽계문학,2740
78,방금 떠나온 세계 :김초엽 소설집 ,지은이: 김초엽,한겨레엔,2021,9791160406504,문학 > 한국문학 > 소설,2729
79,내가 틀릴 수도 있습니다 =숲속의 현자가 전하는 마지막 인생수업 /I may be wrong ,비욘 나티코 린데블라드 지음 ;박미경 옮김,다산북스,2022,9791130689890,종교 > 불교 > 불교,2704
80,삼체 =The three body ,류츠신 지음 ;허유영 옮김,자음과모음,2020,9788954442695,문학 > 중국문학 > 소설,2701
81,7년의 밤 :정유정 장편소설 ,지은이: 정유정,은행나무,2011,9788956604992,문학 > 한국문학 > 소설,2690
